trajectory_id,64_95_class,wait,k_sequence,pre3_sequence,local4_sequence,first_pre111_event,last_pre111_event,maintains_pre111_to_pass,break_event_if_any,break_type_if_any,pass_face
342,A_start,10,"1,1,2,2,2,3,2,1,1,1,1","1 | 1,1 | 1,1,2 | 1,2,2 | 2,2,2 | 2,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","1,1,2,2 | 1,1,2,2;1,2,2,2 | 1,1,2,2;1,2,2,2;2,2,2,3+ | 1,1,2,2;1,2,2,2;2,2,2,3+;2,2,3+,2 | 1,2,2,2;2,2,2,3+;2,2,3+,2;2,3+,2,1 | 2,2,2,3+;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 2,1,1,1;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 1,1,1,1;2,1,1,1;2,3+,2,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",9,10,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
343,A_start,9,"1,1,4,2,3,2,1,1,1,1","1 | 1,1 | 1,1,3+ | 1,3+,2 | 3+,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","1,1,3+,2 | 1,1,3+,2;1,3+,2,3+ | 1,1,3+,2;1,3+,2,3+;3+,2,3+,2 | 1,1,3+,2;1,3+,2,3+;2,3+,2,1;3+,2,3+,2 | 1,3+,2,3+;2,3+,2,1;3+,2,1,1;3+,2,3+,2 | 2,1,1,1;2,3+,2,1;3+,2,1,1;3+,2,3+,2 | 1,1,1,1;2,1,1,1;2,3+,2,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",8,9,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
345,A_start,9,"2,1,4,2,1,1,3,1,1,1","2 | 2,1 | 2,1,3+ | 1,3+,2 | 3+,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","2,1,3+,2 | 1,3+,2,1;2,1,3+,2 | 1,3+,2,1;2,1,3+,2;3+,2,1,1 | 1,3+,2,1;2,1,1,3+;2,1,3+,2;3+,2,1,1 | 1,1,3+,1;1,3+,2,1;2,1,1,3+;3+,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",9,9,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
347,A_start,9,"1,2,1,1,2,6,1,1,1,1","1 | 1,2 | 1,2,1 | 2,1,1 | 1,1,2 | 1,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,2,1,1 | 1,2,1,1;2,1,1,2 | 1,1,2,3+;1,2,1,1;2,1,1,2 | 1,1,2,3+;1,2,1,1;1,2,3+,1;2,1,1,2 | 1,1,2,3+;1,2,3+,1;2,1,1,2;2,3+,1,1 | 1,1,2,3+;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",8,9,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
376,A_start,3,"3,1,1,1","3+ | 3+,1 | 3+,1,1 | 1,1,1","3+,1,1,1 | 1,1,1,2;3+,1,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",3,3,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
386,A_start,8,"1,2,2,3,2,1,1,1,1","1 | 1,2 | 1,2,2 | 2,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","1,2,2,3+ | 1,2,2,3+;2,2,3+,2 | 1,2,2,3+;2,2,3+,2;2,3+,2,1 | 1,2,2,3+;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 2,1,1,1;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 1,1,1,1;2,1,1,1;2,3+,2,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",7,8,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
387,A_start,7,"1,4,3,2,1,1,1,1","1 | 1,3+ | 1,3+,3+ | 3+,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","1,3+,3+,2 | 1,3+,3+,2;3+,3+,2,1 | 1,3+,3+,2;3+,2,1,1;3+,3+,2,1 | 1,3+,3+,2;2,1,1,1;3+,2,1,1;3+,3+,2,1 | 1,1,1,1;2,1,1,1;3+,2,1,1;3+,3+,2,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",6,7,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
388,A_start,8,"2,2,2,1,1,3,1,1,1","2 | 2,2 | 2,2,2 | 2,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","2,2,2,1 | 2,2,1,1;2,2,2,1 | 2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,1;2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;2,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",8,8,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
389,A_start,7,"4,2,1,1,3,1,1,1","3+ | 3+,2 | 3+,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","3+,2,1,1 | 2,1,1,3+;3+,2,1,1 | 1,1,3+,1;2,1,1,3+;3+,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",7,7,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
390,A_start,8,"1,1,4,1,1,3,1,1,1","1 | 1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,1,3+,1 | 1,1,3+,1;1,3+,1,1 | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,1;3+,1,1,3+ | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",8,8,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
