trajectory_id,64_95_class,wait,k_sequence,pre3_sequence,local4_sequence,first_pre111_event,last_pre111_event,maintains_pre111_to_pass,break_event_if_any,break_type_if_any,pass_face
2336,A_start,7,"5,2,1,1,3,1,1,1","3+ | 3+,2 | 3+,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","3+,2,1,1 | 2,1,1,3+;3+,2,1,1 | 1,1,3+,1;2,1,1,3+;3+,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",7,7,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2343,A_inflow,17,"2,1,3,2,4,2,1,2,2,1,1,2,2,3,1,1,1,1","1,1,2 | 1,2,1 | 2,1,3+ | 1,3+,2 | 3+,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,2 | 1,2,2 | 2,2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,1,2,1;1,2,1,3+;2,1,3+,2 | 1,1,2,1;1,2,1,3+;1,3+,2,3+;2,1,3+,2 | 1,2,1,3+;1,3+,2,3+;2,1,3+,2;3+,2,3+,2 | 1,3+,2,3+;2,1,3+,2;2,3+,2,1;3+,2,3+,2 | 1,3+,2,3+;2,3+,2,1;3+,2,1,2;3+,2,3+,2 | 2,1,2,2;2,3+,2,1;3+,2,1,2;3+,2,3+,2 | 1,2,2,1;2,1,2,2;2,3+,2,1;3+,2,1,2 | 1,2,2,1;2,1,2,2;2,2,1,1;3+,2,1,2 | 1,2,2,1;2,1,1,2;2,1,2,2;2,2,1,1 | 1,1,2,2;1,2,2,1;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,3+,1 | 1,1,2,2;1,2,2,3+;2,2,3+,1;2,3+,1,1 | 1,2,2,3+;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",16,17,1,,,"INFLOW_FROM_96-127 | k=1 | pre3=1,1,1"
2344,A_start,7,"3,4,1,1,3,1,1,1","3+ | 3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","3+,3+,1,1 | 3+,1,1,3+;3+,3+,1,1 | 1,1,3+,1;3+,1,1,3+;3+,3+,1,1 | 1,1,3+,1;1,3+,1,1;3+,1,1,3+;3+,3+,1,1 | 1,1,3+,1;1,3+,1,1;3+,1,1,1;3+,1,1,3+ | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",7,7,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2345,A_inflow,18,"1,1,1,1,3,3,4,1,2,2,1,1,2,2,3,1,1,1,1","2,1 | 2,1,1 | 1,1,1 | 1,1,1 | 1,1,3+ | 1,3+,3+ | 3+,3+,3+ | 3+,3+,1 | 3+,1,2 | 1,2,2 | 2,2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,1,1,1;2,1,1,1 | 1,1,1,1;1,1,1,3+;2,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,3+;2,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,3+;1,3+,3+,3+ | 1,1,1,3+;1,1,3+,3+;1,3+,3+,3+;3+,3+,3+,1 | 1,1,3+,3+;1,3+,3+,3+;3+,3+,1,2;3+,3+,3+,1 | 1,3+,3+,3+;3+,1,2,2;3+,3+,1,2;3+,3+,3+,1 | 1,2,2,1;3+,1,2,2;3+,3+,1,2;3+,3+,3+,1 | 1,2,2,1;2,2,1,1;3+,1,2,2;3+,3+,1,2 | 1,2,2,1;2,1,1,2;2,2,1,1;3+,1,2,2 | 1,1,2,2;1,2,2,1;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,3+,1 | 1,1,2,2;1,2,2,3+;2,2,3+,1;2,3+,1,1 | 1,2,2,3+;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",2,18,0,4,"1,1,3+","INFLOW_FROM_96-127 | k=1 | pre3=1,1,1"
2346,A_start,7,"1,6,1,1,3,1,1,1","1 | 1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,3+,1,1 | 1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,1;3+,1,1,3+ | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",7,7,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2348,A_start,7,"2,1,2,6,1,1,1,1","2 | 2,1 | 2,1,2 | 1,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","2,1,2,3+ | 1,2,3+,1;2,1,2,3+ | 1,2,3+,1;2,1,2,3+;2,3+,1,1 | 1,2,3+,1;2,1,2,3+;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",6,7,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2349,A_start,6,"3,2,6,1,1,1,1","3+ | 3+,2 | 3+,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","3+,2,3+,1 | 2,3+,1,1;3+,2,3+,1 | 2,3+,1,1;3+,1,1,1;3+,2,3+,1 | 1,1,1,1;2,3+,1,1;3+,1,1,1;3+,2,3+,1 | 1,1,1,1;1,1,1,2;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",5,6,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2350,A_start,7,"1,1,1,8,1,1,1,1","1 | 1,1 | 1,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,1,1,3+ | 1,1,1,3+;1,1,3+,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",2,7,0,3,"1,1,3+","START_IN_LAYER | k=1 | pre3=1,1,1"
2352,A_start,7,"4,1,3,1,3,1,1,1","3+ | 3+,1 | 3+,1,3+ | 1,3+,1 | 3+,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","3+,1,3+,1 | 1,3+,1,3+;3+,1,3+,1 | 1,3+,1,3+;3+,1,3+,1 | 1,3+,1,1;1,3+,1,3+;3+,1,3+,1 | 1,3+,1,1;1,3+,1,3+;3+,1,1,1;3+,1,3+,1 | 1,1,1,2;1,3+,1,1;3+,1,1,1;3+,1,3+,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",7,7,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2356,A_start,7,"2,3,3,1,3,1,1,1","2 | 2,3+ | 2,3+,3+ | 3+,3+,1 | 3+,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","2,3+,3+,1 | 2,3+,3+,1;3+,3+,1,3+ | 2,3+,3+,1;3+,1,3+,1;3+,3+,1,3+ | 1,3+,1,1;2,3+,3+,1;3+,1,3+,1;3+,3+,1,3+ | 1,3+,1,1;3+,1,1,1;3+,1,3+,1;3+,3+,1,3+ | 1,1,1,2;1,3+,1,1;3+,1,1,1;3+,1,3+,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",7,7,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2357,A_start,6,"5,3,1,3,1,1,1","3+ | 3+,3+ | 3+,3+,1 | 3+,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","3+,3+,1,3+ | 3+,1,3+,1;3+,3+,1,3+ | 1,3+,1,1;3+,1,3+,1;3+,3+,1,3+ | 1,3+,1,1;3+,1,1,1;3+,1,3+,1;3+,3+,1,3+ | 1,1,1,2;1,3+,1,1;3+,1,1,1;3+,1,3+,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",6,6,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2369,A_start,6,"2,2,5,3,1,1,1","2 | 2,2 | 2,2,3+ | 2,3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1","2,2,3+,3+ | 2,2,3+,3+;2,3+,3+,1 | 2,2,3+,3+;2,3+,3+,1;3+,3+,1,1 | 2,2,3+,3+;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",6,6,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2370,A_inflow,18,"2,1,2,1,1,1,2,1,1,1,2,1,3,1,1,7,1,1,1","1,2,2 | 2,2,1 | 2,1,2 | 1,2,1 | 2,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,2,2,1;2,1,2,1;2,2,1,2 | 1,2,1,1;1,2,2,1;2,1,2,1;2,2,1,2 | 1,2,1,1;2,1,1,1;2,1,2,1;2,2,1,2 | 1,1,1,2;1,2,1,1;2,1,1,1;2,1,2,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,3+;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,3+;2,1,3+,1 | 1,1,2,1;1,2,1,3+;1,3+,1,1;2,1,3+,1 | 1,2,1,3+;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,1;3+,1,1,3+ | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,2;3+,1,1,1",5,18,0,6,"1,1,2","INFLOW_FROM_96-127 | k=1 | pre3=1,1,1"
2371,A_inflow,17,"1,2,1,1,1,2,1,1,1,2,1,3,1,1,7,1,1,1","1,3+,1 | 3+,1,2 | 1,2,1 | 2,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,2,1,1;1,3+,1,2;3+,1,2,1 | 1,2,1,1;1,3+,1,2;2,1,1,1;3+,1,2,1 | 1,1,1,2;1,2,1,1;2,1,1,1;3+,1,2,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,3+;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,3+;2,1,3+,1 | 1,1,2,1;1,2,1,3+;1,3+,1,1;2,1,3+,1 | 1,2,1,3+;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,1;3+,1,1,3+ | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,2;3+,1,1,1",4,17,0,5,"1,1,2","INFLOW_FROM_96-127 | k=1 | pre3=1,1,1"
2390,Other_start,7,"1,1,2,2,2,5,1,1","1 | 1,1 | 1,1,2 | 1,2,2 | 2,2,2 | 2,2,3+ | 2,3+,1 | 3+,1,1","1,1,2,2 | 1,1,2,2;1,2,2,2 | 1,1,2,2;1,2,2,2;2,2,2,3+ | 1,1,2,2;1,2,2,2;2,2,2,3+;2,2,3+,1 | 1,2,2,2;2,2,2,3+;2,2,3+,1;2,3+,1,1 | 2,2,2,3+;2,2,3+,1;2,3+,1,1;3+,1,1,2 | 1,1,2,2;2,2,3+,1;2,3+,1,1;3+,1,1,2 | 1,1,2,2;1,2,2,1;2,3+,1,1;3+,1,1,2",,,0,,,"START_IN_LAYER | k=1 | pre3=3+,1,1"
2391,Other_start,6,"1,1,4,2,5,1,1","1 | 1,1 | 1,1,3+ | 1,3+,2 | 3+,2,3+ | 2,3+,1 | 3+,1,1","1,1,3+,2 | 1,1,3+,2;1,3+,2,3+ | 1,1,3+,2;1,3+,2,3+;3+,2,3+,1 | 1,1,3+,2;1,3+,2,3+;2,3+,1,1;3+,2,3+,1 | 1,3+,2,3+;2,3+,1,1;3+,1,1,2;3+,2,3+,1 | 1,1,2,2;2,3+,1,1;3+,1,1,2;3+,2,3+,1 | 1,1,2,2;1,2,2,1;2,3+,1,1;3+,1,1,2",,,0,,,"START_IN_LAYER | k=1 | pre3=3+,1,1"
2392,A_start,8,"3,1,2,2,3,1,1,1,1","3+ | 3+,1 | 3+,1,2 | 1,2,2 | 2,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","3+,1,2,2 | 1,2,2,3+;3+,1,2,2 | 1,2,2,3+;2,2,3+,1;3+,1,2,2 | 1,2,2,3+;2,2,3+,1;2,3+,1,1;3+,1,2,2 | 1,2,2,3+;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",7,8,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2394,A_start,8,"1,3,2,2,3,1,1,1,1","1 | 1,3+ | 1,3+,2 | 3+,2,2 | 2,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,3+,2,2 | 1,3+,2,2;3+,2,2,3+ | 1,3+,2,2;2,2,3+,1;3+,2,2,3+ | 1,3+,2,2;2,2,3+,1;2,3+,1,1;3+,2,2,3+ | 2,2,3+,1;2,3+,1,1;3+,1,1,1;3+,2,2,3+ | 1,1,1,1;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",7,8,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2396,A_start,8,"2,1,1,4,3,1,1,1,1","2 | 2,1 | 2,1,1 | 1,1,3+ | 1,3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","2,1,1,3+ | 1,1,3+,3+;2,1,1,3+ | 1,1,3+,3+;1,3+,3+,1;2,1,1,3+ | 1,1,3+,3+;1,3+,3+,1;2,1,1,3+;3+,3+,1,1 | 1,1,3+,3+;1,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,1;1,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,1;1,1,1,3+;3+,1,1,1;3+,3+,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",7,8,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2397,A_start,7,"3,1,4,3,1,1,1,1","3+ | 3+,1 | 3+,1,3+ | 1,3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","3+,1,3+,3+ | 1,3+,3+,1;3+,1,3+,3+ | 1,3+,3+,1;3+,1,3+,3+;3+,3+,1,1 | 1,3+,3+,1;3+,1,1,1;3+,1,3+,3+;3+,3+,1,1 | 1,1,1,1;1,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,1;1,1,1,3+;3+,1,1,1;3+,3+,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",6,7,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2401,A_inflow,17,"1,1,1,2,3,2,1,4,1,1,4,2,3,2,1,1,1,1","2,2,1 | 2,1,1 | 1,1,1 | 1,1,2 | 1,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,2 | 3+,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","1,1,1,2;1,2,2,1;2,1,1,1;2,2,1,1 | 1,1,1,2;1,1,2,3+;2,1,1,1;2,2,1,1 | 1,1,1,2;1,1,2,3+;1,2,3+,2;2,1,1,1 | 1,1,1,2;1,1,2,3+;1,2,3+,2;2,3+,2,1 | 1,1,2,3+;1,2,3+,2;2,3+,2,1;3+,2,1,3+ | 1,2,3+,2;2,1,3+,1;2,3+,2,1;3+,2,1,3+ | 1,3+,1,1;2,1,3+,1;2,3+,2,1;3+,2,1,3+ | 1,3+,1,1;2,1,3+,1;3+,1,1,3+;3+,2,1,3+ | 1,1,3+,2;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,2;1,3+,1,1;1,3+,2,3+;3+,1,1,3+ | 1,1,3+,2;1,3+,2,3+;3+,1,1,3+;3+,2,3+,2 | 1,1,3+,2;1,3+,2,3+;2,3+,2,1;3+,2,3+,2 | 1,3+,2,3+;2,3+,2,1;3+,2,1,1;3+,2,3+,2 | 2,1,1,1;2,3+,2,1;3+,2,1,1;3+,2,3+,2 | 1,1,1,1;2,1,1,1;2,3+,2,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",2,17,0,3,"1,1,2","INFLOW_FROM_96-127 | k=1 | pre3=1,1,1"
2409,A_start,7,"2,1,1,1,7,1,1,1","2 | 2,1 | 2,1,1 | 1,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","2,1,1,1 | 1,1,1,3+;2,1,1,1 | 1,1,1,3+;1,1,3+,1;2,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;2,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,2;3+,1,1,1",3,7,0,4,"1,1,3+","START_IN_LAYER | k=1 | pre3=1,1,1"
2411,A_inflow,17,"1,2,1,1,2,2,2,1,1,6,2,2,1,1,3,1,1,1","3+,2,1 | 2,1,2 | 1,2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,2 | 2,2,1 | 2,1,1 | 1,1,3+ | 1,3+,2 | 3+,2,2 | 2,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,2,1,1;1,3+,2,1;2,1,2,1;3+,2,1,2 | 1,2,1,1;2,1,1,2;2,1,2,1;3+,2,1,2 | 1,1,2,2;1,2,1,1;2,1,1,2;2,1,2,1 | 1,1,2,2;1,2,1,1;1,2,2,2;2,1,1,2 | 1,1,2,2;1,2,2,2;2,1,1,2;2,2,2,1 | 1,1,2,2;1,2,2,2;2,2,1,1;2,2,2,1 | 1,2,2,2;2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,2;2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,2;1,3+,2,2;2,1,1,3+;2,2,1,1 | 1,1,3+,2;1,3+,2,2;2,1,1,3+;3+,2,2,1 | 1,1,3+,2;1,3+,2,2;2,2,1,1;3+,2,2,1 | 1,3+,2,2;2,1,1,3+;2,2,1,1;3+,2,2,1 | 1,1,3+,1;2,1,1,3+;2,2,1,1;3+,2,2,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;2,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",17,17,1,,,"INFLOW_FROM_96-127 | k=1 | pre3=1,1,1"
2415,Other_start,7,"1,1,1,2,1,7,1,1","1 | 1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,3+ | 1,3+,1 | 3+,1,1","1,1,1,2 | 1,1,1,2;1,1,2,1 | 1,1,1,2;1,1,2,1;1,2,1,3+ | 1,1,1,2;1,1,2,1;1,2,1,3+;2,1,3+,1 | 1,1,2,1;1,2,1,3+;1,3+,1,1;2,1,3+,1 | 1,2,1,3+;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;1,3+,1,2;3+,1,1,3+",2,2,0,3,"1,1,2","START_IN_LAYER | k=1 | pre3=3+,1,1"
2427,Other_start,8,"1,2,1,2,2,2,2,2,3","1 | 1,2 | 1,2,1 | 2,1,2 | 1,2,2 | 2,2,2 | 2,2,2 | 2,2,2 | 2,2,3+","1,2,1,2 | 1,2,1,2;2,1,2,2 | 1,2,1,2;1,2,2,2;2,1,2,2 | 1,2,1,2;1,2,2,2;2,1,2,2;2,2,2,2 | 1,2,2,2;2,1,2,2;2,2,2,2 | 1,2,2,2;2,2,2,2;2,2,2,3+ | 2,2,2,2;2,2,2,3+;2,2,3+,3+ | 2,2,2,2;2,2,2,3+;2,2,3+,3+;2,3+,3+,2 | 2,2,2,3+;2,2,3+,3+;2,3+,3+,2;3+,3+,2,1",,,0,,,"START_IN_LAYER | k=3 | pre3=2,2,3+"
2882,A_start,15,"1,2,2,1,2,2,3,2,2,2,3,2,1,1,1,1","1 | 1,2 | 1,2,2 | 2,2,1 | 2,1,2 | 1,2,2 | 2,2,3+ | 2,3+,2 | 3+,2,2 | 2,2,2 | 2,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","1,2,2,1 | 1,2,2,1;2,2,1,2 | 1,2,2,1;2,1,2,2;2,2,1,2 | 1,2,2,1;1,2,2,3+;2,1,2,2;2,2,1,2 | 1,2,2,3+;2,1,2,2;2,2,1,2;2,2,3+,2 | 1,2,2,3+;2,1,2,2;2,2,3+,2;2,3+,2,2 | 1,2,2,3+;2,2,3+,2;2,3+,2,2;3+,2,2,2 | 2,2,2,3+;2,2,3+,2;2,3+,2,2;3+,2,2,2 | 2,2,2,3+;2,2,3+,2;2,3+,2,2;3+,2,2,2 | 2,2,2,3+;2,2,3+,2;2,3+,2,1;3+,2,2,2 | 2,2,2,3+;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 2,1,1,1;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 1,1,1,1;2,1,1,1;2,3+,2,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",14,15,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
2883,A_start,14,"1,4,1,2,2,3,2,2,2,3,2,1,1,1,1","1 | 1,3+ | 1,3+,1 | 3+,1,2 | 1,2,2 | 2,2,3+ | 2,3+,2 | 3+,2,2 | 2,2,2 | 2,2,3+ | 2,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","1,3+,1,2 | 1,3+,1,2;3+,1,2,2 | 1,2,2,3+;1,3+,1,2;3+,1,2,2 | 1,2,2,3+;1,3+,1,2;2,2,3+,2;3+,1,2,2 | 1,2,2,3+;2,2,3+,2;2,3+,2,2;3+,1,2,2 | 1,2,2,3+;2,2,3+,2;2,3+,2,2;3+,2,2,2 | 2,2,2,3+;2,2,3+,2;2,3+,2,2;3+,2,2,2 | 2,2,2,3+;2,2,3+,2;2,3+,2,2;3+,2,2,2 | 2,2,2,3+;2,2,3+,2;2,3+,2,1;3+,2,2,2 | 2,2,2,3+;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 2,1,1,1;2,2,3+,2;2,3+,2,1;3+,2,1,1 | 1,1,1,1;2,1,1,1;2,3+,2,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",13,14,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
